Un.,Código,Descrição
KG,120253,"CHAPA FQ #13 (1,20 x 5,60m) 1010"
KG,120258,"CHAPA FQ #13 (1.20 x 4,00m) 1010"
KG,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300
KG,134388,"TUBO SCHEDULLE 40 - 3/8"" S/C 6.30 METROS"
Un,212301,"ARR. DE PRES. MÉDIA - ZB 1/2"""
Un,222148,CONTRA PINO 3/16 X 1.1/2
Un,222252,CONTRA PINO 3/16 X 2
Un,284210,RETENTOR REF 1552 BR (AR-5363)
Un,447006,"PORTA CABO - FREIO U4/6 P2/4 A3,5"
KG,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300"
Un,212300,"ARRUELA LISA 27MM POL. CHAPA 3/16"""
Un,222416,CILINDRO TEL. CBH 8T 19 OC
Un,232300,"GRAMPO P/ CABO DE ACO 3/16"""
Un,260137,PARAF SEX 5/8 X 2.1/4 UNC
KG,120137,"BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300"
L,326409,VERNIZ SINTÉTICO - TINGIDO
KG,120202,CHAPA 1/4 (6.30 x 2440 x 6000) A36-CIVIL300
Un,200401,"PORCA AUTOTRAVANTE 3/8"" UNC"
Un,213844,"CORREIA ABERTA 2L 1/8"" X 1/16"" - 5000MM X 300MM"
Un,222100,CONTRA PINO 5/32 X 1.1/2
KG,226208,CORRENTE ELO 5/16 F. POLIDO
Un,240551,ADAPT. MACHO JIC 3/4 X 3/8 NPT
Un,240590,"ADAPT. 1/2"" NPTF X 3/4-16-PTT-30°"
Un,256161,"PARAF FRANC 3/8 X 2"""
Un,256808,PARAF FRANC 3/8 X 1
Un,258805,PARAF SEX 1/4 X 2 UNF
Un,266176,PLACA DE IDENT. CEMAG
Un,272152,"PORCA CAST. DE 3/4"" UNF ZB"
Un,274604,"PORCA SEX 3/8"" UNC ZB"
Un,279419,"PORCA DUPLA DE 1/2"" UNF - ZB"
Un,032234,PINO DE ARTICULAÇÃO _ CBH/CBHM 02 EIXOS
KG,110747,AÇO LAMINADO RED 5 1020
KG,112150,"ACO TREF. RED. SAE-1045 - 1"""
KG,126755,"AÇO CHATO LAM 1"" X 3"" SAE-1020"
KG,134020NAC,"TUBO QUADRADO 100 X 100 X 4,75"
Un,222402,"CUBO RODA F. FUND. NOD. GGG-50"" FA4/CBHM"
Un,116611,COMP. NAVAL SOMASSOALHO 3090 X 1795 X 20MM
KG,120031,"CHAPA FQ #14 (1,20 x 6,00m) 1010"
KG,318416,TINTA PÓ 26 LI LARANJA W RAL 2002 BR
