Un.,Código,Descrição
Un,224579,CORREIA TRANSP. HORIZONTAL C/ TALISCAS U 1 27300 X 480MM
KG,110607,ACO LAMINADO RED 5/8 1020
KG,124102,ACO LAMINADO QDR 1.1/2 1020
KG,134021,"TUBO QDR 50,00 X 2,00"
KG,134023,"TUBO RET 100 X 50 X 3,00"
KG,134050,TUBO QDR 100 X 4.00MM
KG,134088,"TUBO QDR 20,00 X 20,00 X 1,50"
KG,134156,TUBO MECANICO 43 X 30 ST-52
KG,134168,"TUBO SCHEDULLE 80 - 3/4"""
KG,134326,"TUBO SCHEDULLE 40 - 3/4"""
KG,134451,TUBO QDR 50 X 3.00MM
KG,134891,"TUBO QDR 40,00 X 2,50"
Un,212102,"ARRUELA LISA 1.1/4"" GALV. 1/8"" ESPESSURA"
KG,134181,TUBO 3/4 DIN 2440
KG,126160,AÇO CHATO LAM 1/2 X 2.1/2 SAE-1020
KG,134200,"TUBO SCHEDULLE 80 - 1.1/4"""
KG,134049,"TUBO QDR 63,50 X 63,50 X 5,00"
KG,134510,"TUBO SCHEDULLE 40 - 1"""
Un,258325,PARAF SEX 3/8 X 1.3/4 UNF ZB
Un,274707,"PORCA SEX 3/8"" UNF ZB"
KG,110164,ACO LAMINADO RED 1 1020
KG,120205,BOBINA CHAPA 3.00 LN 500
Un,222325,PINO ELÁSTICO 6 X 40MM
Un,240302,TERM RETO FEMEA JIC MANG 3/8 X 3/4
KG,112874,"ACO RED INOX 304 DE 1.1/2"""
Un,035468,PINO DA RÓTULA [ACESSÓRIOS - CTH4500]
Un,035469,PINO DA CAÇAMBA [ACESSÓRIOS - CTH4500]
Un,035601,LIMITADOR [CHASSI - CTH4500]
Un,299704,BUCHA GSM-2630-16 (IGLIDUR) - RG
Un,026928,EIXO DA RODA MARCADORA 5 BICOS - TRANSPLANTADEIRA
KG,110188,ACO LAMINADO RED 1/2 1020
KG,110528,ACO LAMINADO RED 3/4 1020
M,117111,TARUGO NYLON RED. DE 150mm.
Un,120007,CHAPA UHMW 12 X 1000 X 700 MM
Un,120012,CHAPA UHMW 6 X 920 X 1200 MM
KG,134134,TUBO MECANICO 36 X 16 ST-52
Un,200031,ASSENTO TIPO CONCHA PRETA CÓD.US-2008
Un,200032,TANQUE DE POLIETILENO CAP. 500LTS
Un,200034,JOELHO ESGOTO 75MM X 90º
Un,200035,REDUÇÃO EXCENTRICA ESG. 75X50
Un,200036,"TE ROSCAVEL 3/4"""
Un,200038,"NIPEL ROSC 3/4"" PCV"
Un,200039,"ADAPTADOR LR 25 X 3/4"""
Un,200040,"ADAPTADOR INTERNO 3/4"" RABO TATU"
Un,200044,"JOELHO LR 25 X 3/4"""
Un,200045,"JOELHO PVC ROSCAVEL 3/4"""
Un,200046,"REGISTRO GALV. 3/4"""
Un,200052,LUVA PVC ESG. 75MM
Un,200068,ADESIVO PVC 75G (POLYTUBES)
Un,200135,TE PVC 75 X 75
Un,200136,BUCHA RED. LONGA 50 X 25
Un,200175,"ADAPTADOR INTERNO 1/2"" (RABO DE TATU)"
Un,201224,"DISCO GRADE CONCAVO LISO 24,00""R 6,00MM 1F #42,86"
Un,213601,"ABRACADEIRA S/FIM 3/4"" A 1"""
Un,213642,"REBITE REPUXO INOX 3,2 X 12 (312)"
Un,222145,CAIXA DE TRANSMISSÃO INPEL CT14501-ZH
Un,222146,LIMITADOR DE TORQUE INPEL LT9003-Z
Un,222452,CABEÇOTE GUIA C/ VED. CN.080XH.060
Un,222453,EMBOLO C/ VED. CN 080-080x030x050
Un,222454,FUNDO CN.080 080x095x012 FD
Un,222455,OLHAL TUBULAR 063X040X100
Un,222456,PORCA AUTO TRAVANTE MÉTRICA ALTA M30X2
Un,222457,TOMADA DE OLEO TB LIG16H30
Un,222459,TOMADA DE OLEO 1/2 BSP
Un,222461,TOMADA DE OLEO 1/2 BSP-H18
Un,222462,TUBO TLH 016X2 USINADO
Un,222463,TUBO TCH 095x080x07.5 BRUNIDO
Un,222464,DISTANCIADOR H060
Un,222719,CONTRA PINO 1/4 X 1.1/2
Un,222940,PINO DE PRESSAO 6 X 50mm
Un,240036,LAMINA FACA DUPLO CORTE ref.03-0718
Un,258295,PARAF SEX 3/8 X 1.1/2 UNF
Un,258635,PARAF SEX 5/8 X 1 UNC ZB
Un,260332,PARAF SEX 3/4 X 5 UNF ZB
Un,260435,PARAF SEX 5/8 X 2.1/2 8.8UNC ZB
Un,272402,"PORCA CAST. DE 1"" UNC ZB"
Un,274100,PORCA SEX 1/2 12 F - ZB
Un,274197,"PORCA SEX 5/8"" G-5 UNF ZB"
Un,275062,"PORCA A/T. NY. 7/8"" UNF ZB ALTA"
Un,284854,RETENTOR REF 01602 BAG
Un,288205,ROLAMENTO YAR 204-2F
Un,288206,MANCAL APOIO FRM P204
Un,299960,CARDAN REF. CC-2558/1P C/PROTECAO
L,313144,ESM. PU ACRILICO PRETO FOSCO
Un,414347,EIXO ENG - TORRE DESL (M03) ROCAX 1800
Un,443554,PINO ENG T SUP/TORRE ROT
M,200388,"TELA SOMBRIL PRETA 50% 1,50m"
Un,034958,PINO MAIOR DO BRAÇO ESTABILIZADOR [MCF16]
Un,035202,PINO INFERIOR DO CILINDRO A-10-A [MCF M24]
Un,035296,PINO DOS AMORTECEDORES [MCF M24]
KG,300049,PIGMENTO AZUL 10407
Un,026878,BANDEJA MELÃO- SELECIONADORA DE FRUTAS
KG,110309,ACO LAMINADO RED 1.1/4 1020
KG,124577,ACO LAM QDR 3/8 1020
Un,222133,"BARRA ROSC FERRO GALV. 1/2"" X 1MT"
Un,029499,PRENDEDOR DO TUBO DE RETORNO [MCF]
Un,034585,BUCHA DE FIXAÇÃO [ROLO MOTOR - MCF M23]
Un,034770,FIXADOR REGULADOR DE FLUXO [MCF M23]
Un,034953,TRAVA DO PINO [MCF16]
Un,035463,EIXO TENSOR [MCF16 M24]
KG,134194,TUBO MECANICO 80 X 50 ST-52
KG,134627,TUBO MECANICO 45 X 28 ST-52
KG,134887,TUBO RET 150 X 80 X 5MM
Un,028522,EIXO MAIOR DA BANDEJA - SELECIONADORA DE FRUTAS
Un,350527,LOCTITE 271 TB. C/ 50 GR.
Un,226114,MOLA TRAÇÃO MT 4X29 5X104X151 5T CRUZ
Un,CHAVEIRO_BRINDE,CHAVEIRO CEMAG CARRETA BRINDE
Un,035367,BUCHA REGULADORA DA EMBREAGEM [ROÇAX 1800 M24]
L,350631,SOLVENTE (TOLUENO)
Un,436057,EIXO TRAVA TORRE 1800 ROCAX
Un,442173,EIXO RODA (M03) RG
M3,801082,MISTURA SK-20/C-25
KG,110929,ACO LAMINADO RED 2 8620
KG,124060,ACO TREFILADO QDR 1/2 1045
Un,258237,"PARAF SEX 1/4 X 2.1/2"" UNC ZB"
Un,259299,PARAF P/ARADO TIPO A3 1/2 X 1.1/2 ZB
Un,282156,"REBITE DE ALUMINIO 4,8 x 16MM (516)"
Un,200438,BLOCO DE CONTATO AUXILIAR BC 1NA (F) P/ BOT. CSW C12174912
Un,200439,FLANGE P/ BOT. COM SINALI AF 3 POSIÇÕES CSW F C/ 12918902
Un,200440,BOTAO CSW BD55FR-WH DUPLO PULS. PRETO/PRETO S/ FLANGE C 12884115
Un,200441,MINIDISJUNTOR MDW-C 16A 2P 230/400 VCA 3KA C/ 15265722
Un,200453,CONEC DE PASSAGEM (Borne Sak 2.5mm)
Un,200454,RELE INTERFACE CR-P012DC2 12VCC/16A 1N CC
Un,200455,BASE P/LINHA.CR-P MODE.P/RELE 1 OU 2NA
Un,200457,"PRENSA CABO 1"""
Un,200458,"PRENSA CABO 3/4"""
M,200459,"ELETRODUTO SPIRAFLEX PRETO 1/2"""
Mt,200460,CABO PP 2x1mm
Un,200461,botoeira de emergencia c/ trava NF MCF16
M,200462,CABO FLEXIVEL CL5 750V PVC 70°C PT 1MM
M,200463,CABO FLEXIVEL 1MM AZUL
M,200464,"CABO FLEXIVEL 750V SIL PT 1,5MM"
Un,200467,CAIXA VAZIA BOTOE.1 BOTAO 75X75X57
Un,200481,"Sinaleira 12V, 22mm, Amarela"
Un,200485,CAIXA PASS.CEGA STECK 154X110X70 S.SX161
Un,221198,UNIÃO MACHO JIC 7/8 X 1.1/16 UNF
Un,240670,"ADAPTADOR MACHO JIC 7/8"""
Un,251008,"PARAF ALLEN S/C 1/4"" X 1/2"""
KG,120201IMP,BOBINA CHAPA LQ 6.00 X 1200 SAE1010
KG,120278IMP,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300 IMP"
KG,120305IMP,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 IMP"
KG,134697,"TUBO QDR 60 X 4,00"
Un,200047,"DISCO GRADE CONCAVO LISO 14,00""L 3,00MM 1F #26,98"
Un,200224,"DISCO GRADE CONCAVO DENTADO 24,00""R 6,00MM 1F #42,86"
Un,200450,QUADRO DE COMANDO 40X30X20 MCF16
M,200451,TRILHO DIN P/FIXAÇÃO
M,200452,CANALETA HELADUCT ABERTA 30X30MM
Un,200456,PRENSA CABO S-852CI BSP STECK BC 16mm (PG16)
M,200482,"espaguete termo retrátil 3/4"""
Un,200487,Conector Automotivo 2 Vias Selado Impermeável
M,200488,espaguete termo retrátil 8mm
Un,210857,ANEL ELASTICO I-92
Un,212234,"ARR. DE PRES. MÉDIA - ZB 3/16"""
Un,212611,"ARR. DE PRES. MÉDIA - ZB 7/8"""
Un,214110,RODA MOD. FER.325/350X8 ESF 6205 CH 16 CÓD.198
Un,216531,BORRACHA EVA 10MM X 1200 X 2000MM
Un,216533,BORRACHA EVA 6MM X 1200 X 2200MM
Un,218406,CAMARA AR REF. 16 L 395 (K-16)
Un,222191,AMORTECEDOR PORTA-MALAS GOL 80/90 CÓD. TG-12.1.013 P/ PRODUTO MCF SS RS M23
Un,222327,PINO ELÁSTICO 6 X 50 (DIN 1481)
Un,222425,CABEÇOTE GUIA C/ VED. CN 050X040X028 + EMBOLO C/ VED. 040X015X040 + PORCA AUTO TRAVANTE M14X1.50 REF. CÓD. 222422
Un,222432,TUBO TCH 072X060X06 ST52 BRUN 237MM REF. CÓD. 222422
Un,222450,TERMINAL TRAS ROT SOLDAVEL S35N IMP
Un,222451,FUNDO CN.070 070x080x012 FD
Un,236204,MANCAL FLANGE FRM F208
Un,240510,"CIL. COMPL. 2"" x 180MM CÓD.CJ 429"
Un,240651,TERM FEMEA JIC 90 MANG 5/8 X 7/8
Un,257095,"PARAF ALLEN S/CAB 5/16 X 3/8"" UNC"
Un,257123,"PARAF. MAQ. FENDA. 5/16"" X 1.3/4"" CAB. CHATA"
Un,257643,"PARAF ALLEN 1/4 X 1"" NC C/CAB."
Un,258076,PARAF SEX 5/16X 1 UNC ZB
Un,258167,PARAF SEX 1/2 X 3/4 UNC ZB
Un,258182,PARAF SEX 1 X 4 UNC
Un,258398,PARAF SEX 3/8 X 3/4 UNC ZB
Un,258831,PARAF SEX 1/4 X 7/8 UNC
Un,258855,"PARAF SEX 1/2 X 5.1/2"" UFC"
Un,258970,PARAF SEX 3/8 X 1 UNC ZB
Un,259214,PARAF SEX 5/16X 3 UNC
Un,259362,"PARAF SEX INOX 1/2 X 1"" UNC"
Un,260113,PARAF SEX 1/2 X 1 UNC ZB
Un,260125,PARAF SEX 5/8 X 4 UNC
Un,260149,PARAF SEX 1/2 X 2.1/4 UNC
Un,260204,PARAF SEX 5/8 X 1.1/4 UNF
Un,260461,PARAF SEX 3/8 X 2.3/4 UNC
Un,260526,PARAF SEX 1/2 X 4 - UNC
Un,260600,PARAF SEX 5/8 X 4.1/2 UNC
Un,260940,PARAF SEX 1 X 7 UNC
Un,274501,PORCA SEX 3/16 UNC
Un,288200,ROLAMENTO FRM 207 EIXO 35MM
Un,288204,ROLAMENTO REF 6004-2RS 1º LINHA
Un,288209,ROLAMENTO REF 6011 1º LINHA
Un,313209,FITA CREPE 48x50
L,313233,CATALIZ. P/WASH PRIMER
L,313310,DESENGRAXANTE P/ LIMPEZA DE PEÇAS
L,318050,WASH PRIMER
Un,497848,FITA PLAST. P/EMB. LARG. 10mm.
Un,497872,FITA ADESIVA USO GERAL 3M C/ 100 MTS
Un,497874,FITILHO
Un,497968,"SACO PLASTICO P/ DES. 34X24X0,20"
Un,504620,SPRAY TINTA
M,504748,CABO DE FIBRA ÓTICA CÓD. 40185162
Un,509264,FILTRO CARTÃO PLINSADO 1250 X 1275 - 40 PLINSAS
Un,509265,FILTRO CARTÃO PLINSADO 1250 X 1270MM 32 PLINSAS
Un,509266,FILTRO CARTÃO PLINSADO 1250 X 800MM 20 PLINSAS
Un,509268,MANTA PA50 795 X 1270MM
Un,509269,MANTA PA50 645 X 1270MM
Un,509270,MANTA PA50 810 X 1270MM
Un,509378,MANTA HV500 795 X 1270MM
Un,509379,MANTA HV500 645 X 1270MM
Un,509380,MANTA HV500 810 X 1270MM
Un,533572,PILHA ALCALINA AA
Un,533786,FITA ISOLANTE 19MM X 20M PRET
Un,534510,FIXADOR VERTICAL KF111 RBL
Un,599488,ADESIVO INSTANTANEO 20 G
M3,801010,OXIGENIO GASOSO
KG,801084,DIOXIDO DE CARBONO 2.2 NA (25KG)
Un,455600,TAMPA CUBO - RODAGEM F6/FA/CBHM
KG,120134IMP,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300 IMP"
Un,222422,CILINDRO LAT. CBHL - INT 60mm x HST 25mm - CURSO 181mm
Un,398024,KIT ADESIVO TANQUE FTC6500
KG,120547IMP,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 IMP
Un,222153,RESPIRO C/ VARETA REF. BJ-15 INPEL
Un,027269,PINHAO 13 DENTES MOVIDO - ROBUSTA 12T PARA COMPOSTO
Un,028019,EIXO DO BRAÇO - MÁQ P/ COLHEITA DE FRUTAS
Un,398031,KIT ADESIVO FORRAGEIRA CBH6
Un,218200,"CAMARA AR 900X20 (20""Z500-V3-06-8)"
Un,222410,"ARO DE RODA 20"" C/ANEL CBH 8T"
Un,398023,KIT ADESIVO TANQUE FTC4300R
Un,398029,KIT ADESIVO USO GERAL CBH7
Un,398049,KIT ADESIVO BASICA FA5 METALICA
KG,120549IMP,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 IMP
Un,398030,KIT ADESIVO FORRAGEIRA CBH5
Un,258647,PARAF SEX 5/8 X1.1/4 UNC ZB
Un,035470,PINO DO CHASSI [ACESSÓRIOS - CTH4500]
KG,110000,ACO LAMINADO RED 3.1/2 1020
Un,398039,KIT ADESIVO USO GERAL CBHM6000-2E
Un,398052,KIT ADESIVO BASICA FA4 FB - FA6 FIXA - F6B - F6C - FA2A
KG,120112,"CHAPA ANTI-DERR. 4,75mm. 1010"
Un,200492,CHAPA UHMW 5 X 80 X 130 [CTH4500]
Un,200493,CHAPA UHMW 5 X 80 X 200 [CTH4500]
Un,398055,KIT ADESIVO TRANSBORDO CTH4500
Un,212103,ARRUELA LISA 30MM GALV.
Un,398033,KIT ADESIVO FORRAGEIRA CBH7
Un,398036,KIT ADESIVO FORRAGEIRA CBH6R
Un,398048,KIT ADESIVO USO GERAL CBHM6000
Un,398053,KIT ADESIVO BASICA FA2 METALICA
Un,398057,KIT ADESIVO ROCADEIRA ROCAX1800
Un,427998,STOP PATIM [ROÇAX1800]
Un,491895,BARRA REG - PATIM (M03) ROCAX
Un,026876,PINO 2º PONTO - PRÉ-ENCANTEIRADOR
Un,034840LC,TUBO ESPAÇADOR LARANJA DO EIXO [MCF16]
Un,035953,CONJUNTO PISTÃO + TAMPA CILINDRO 5000-6000 [MCF16 M24]
Un,398025,KIT ADESIVO TANQUE FTD5000
Un,398043,KIT ADESIVO CAFEEIRA CBHM6000
Un,398054,KIT ADESIVO BASICA FA6F METALICA
Un,033329,REFORÇO LATERAL [FIXAÇÃO BRAÇO - CBH12]
Un,034684,DISCO TENSOR MENOR [MCF M23]
Un,035815,"BUCHA DE FIXAÇÃO 1.1/4"" [MCF16 M24]"
Un,035955,EIXO TENSOR DA ARTICULÇÃO INFERIOR [MCF]
KG,110670,ACO LAMINADO RED 3 1045
M,200442,"CABO CONTROLE 20 X 1,00MM"
Un,200489,TAMPA SAK P/ PORTA FUSÍVEL MAT-F/MAB1
Un,200490,CONEC. SAK C/ PORTA FUSÍVEL C/ SIN 24V MAT-F/MAB1F24
Un,222207,TOMADA CONECTOR FEMEA 16 PINOS C/ TRAVA
Un,200465,TERMINAL ILHOS 1.0mm
Un,398037,KIT ADESIVO FORRAGEIRA CBH6-2E
Un,398040,KIT ADESIVO GRANELEIRA CBHM5000
Un,200466,TERMINAL ILHOS 1.5mm
Un,200471,"Anilha identificador de fio 2,5MM N°1"
Un,200472,"Anilha identificador de fio 2,5MM N°2"
Un,200473,"Anilha identificador de fio 2,5MM N°3"
Un,200474,"Anilha identificador de fio 2,5MM N°4"
Un,200475,"Anilha identificador de fio 2,5MM N°5"
Un,200476,"Anilha identificador de fio 2,5MM N°6"
Un,200477,"Anilha identificador de fio 2,5MM N°7"
Un,200478,"Anilha identificador de fio 2,5MM N°8"
Un,200479,"Anilha identificador de fio 2,5MM N°9"
M,200486,CABO CONTROLE 500V FLEX PT 25 X 1
Un,200584,FUSÍVEL VIDRO 2CM 5A
Un,200585,FUSÍVEL VIDRO 2CM 10A
Un,222206,TOMADA CONECTOR MACHO 16 PINOS C/ TRAVA
Un,222209,TOMADA CONECTOR MACHO 24 PINOS C/ TRAVA
Un,026684LC,SUPORTE DA RODA [TRP6000]
Un,030327,TUBO FIXO MACACO M17 CHASSI CBHM/CBH
Un,035713,PARAFUSO LAMINA METISA [ROCAX1800]
M,200483,"espaguete termo retrátil 1.1/2"""
Un,398041,KIT ADESIVO CAFEEIRA CBHM5000
Un,035441LC,TUBO HIDRAULICO DOS CILINDROS LARANJA [MCF M24]
Un,035999LC,"CILINDRO HIDRÁULICO 4.1/2"" LARANJA [MCF16 M24]"
Un,035369,ARRUELA DO REGULADOR DA EMBREAGEM [ROÇAX 1800 M24]
Un,200496,Conector Automotivo Mike 2 Vias Aviação Gx16 2 - Macho E Femea
KG,112914,ACO TREFILADO RED 7/8 1020
KG,134024,"TUBO RET 50 X 30 X 1,50"
KG,134043,TUBO RETANGULAR 100 X 50 X 5MM
KG,134124,TUBO MECANICO 112 X 90 ST-52
KG,134447,"TUBO QDR 40 X 4,5MM"
KG,134449,TUBO QDR 100 X 3.00MM
KG,134883,"TUBO QDR 50,00 X 6MM"
KG,199814,"AÇO QUAD. TREF. 1020 2"" (50.800MM)"
M,219447,CORDA NYLON TRANÇADA PET 06mm.
Un,412030,"ARRUELA CHANF 5/8""- RODAG CAR"
Un,200470,"Anilha identificador de fio 2,5MM N°0"
Un,398050,KIT ADESIVO FORRAGEIRA CBH9-2E
Un,ITA201,PINO ELÁSTICO DIN 1481 10 X 80MM
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
